Integer Label,Text Label,Anatomic Region,Anatomic Region Modifier,Primary Anatomic Structure,Primary Anatomic Structure Modifier,Segmented Property Category -- CID 7150++,Segmented Property Type,DICOM Context Group for Anatomic Region or Segmented Property Type,Segmented Property Type Modifier,Color,Notes,
0,        background  ,        , , , ,"(R-42018,SRT,""Spatial and Relational Concept"")","(new,DCM,""Background"")",716x, ," rgba(0,0,0,0)  ","Definition - ""that which is not part of an object""",
1,        tissue  ,        , , , ," (T-D0050,SRT,""Tissue"")"," (T-D0050,SRT,""Tissue"")",716y, ," rgb(128,174,128)  ",        Default label for bodily tissues  ,     
2,        bone  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-D016E,SRT,""Bone"")",716y,        ," rgb(241,214,145)  ",        ,
3,        skin  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-01000,SRT,""Skin"")",716y, ," rgb(177,122,101)  ",        ,
4,        connective tissue  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-1A200,SRT,""Connective tissue"")",716y, ," rgb(111,184,210)  ",        ,
5,        blood  ,        , , , ,"(T-D0080,SRT,""Body Substance"")","(T-C2000,SRT,""Blood"")",716y, ," rgb(216,101,79)  ",        ,
6,        organ  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-1A310,SRT,""Organ"")",716y, ," rgb(221,130,101)  ",        ,
7,        mass  ,        , , , ," (M-01000,SRT,""Morphologically Altered Structure"") ","(M-03000,SRT,""Mass"")",7159++,        ," rgb(144,238,144)  ",        Could be tumor or other lesion  ,     
8,        muscle  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-13001,SRT,""Muscle"")",716y,        ," rgb(192,104,88)  ",        ,
9,        foreign object  ,        , , , ," (A-00004,SRT,""Physical Object"") ","(M-30400,SRT,""Foreign body"") ",7158++,        ," rgb(220,245,20)  ","        Implants, surical instruments, table...  ",     
10,        waste  ,        , , , ," (A-00004,SRT,""Physical Object"") ","(F-61779,SRT,""Waste material"")",716x, ," rgb(78,63,0)  ",        ,
11,        teeth  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-54010,SRT,""Tooth"")",4028++, ," rgb(255,250,220)  ",        ,
12,        fat  ,        , , , ," (T-D0050,SRT,""Tissue"")         ","(F-03D38,SRT,""Body fat"")",716y, ," rgb(230,220,70)  ",        ,
13,        gray matter  ,        , , , ," (T-D0050,SRT,""Tissue"")         ","(T-A0096,SRT,""Gray matter"")",7153 edited,        ," rgb(200,200,235)  ",        cf. #39   #116 ,     
14,        white matter  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-A0095,SRT,""White matter"")",7153 edited,        ," rgb(250,250,210)  ",        ,
15,        nerve  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-D0598,SRT,""Nerve"")",716y, ," rgb(244,214,49)  ",        ,
16,        vein  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-4806E,SRT,""Vein"")",716y, ," rgb(0,151,206)  ",        ,
17,        artery  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-41066,SRT,""Artery"")",716y, ," rgb(216,101,79)  ",        ,
18,        capillary  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-40050,SRT,""Capillary"")",716y, ," rgb(183,156,220)  ",        ,
19,        ligament  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-18010,SRT,""Ligament"")",716y, ," rgb(183,214,211)  ",        ,
20,        tendon  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-17010,SRT,""Tendon"")",716y, ," rgb(152,189,207)  ",        ,
21,        cartilage  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-D021B,SRT,""Cartilage"")",716y, ," rgb(111,184,210)  ",        ,
22,meniscus  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-15009,SRT,""Meniscus"")",716y, ," rgb(178,212,242)  ",        ,
23,        lymph node  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-C4000,SRT,""Lymph node"")",716y, ," rgb(68,172,100)  ",        ,
24,        lymphatic vessel  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-C6010,SRT,""Lymphatic vessel"")",716y, ," rgb(111,197,131)  ",        ,
25,        cerebro-spinal fluid  ,        , , , ,"(T-D0080,SRT,""Body Substance"")","(T-A1000,SRT,""Cerebrospinal fluid"")",7153,        ," rgb(85,188,255)  ",        cf. # 106 ,     
26,        bile  ,        , , , ,"(T-D0080,SRT,""Body Substance"")","(T-60650,SRT,""Bile"")",716y, ," rgb(0,145,30)  ",        ,
27,        urine  ,        , , , ,"(T-D0080,SRT,""Body Substance"")","(T-70060,SRT,""Urine"")",716y, ," rgb(214,230,130)  ",        ,
28,        feces  ,        , , , ,"(T-D0080,SRT,""Body Substance"")","(T-59666,SRT,""Feces"")",716y, ," rgb(78,63,0)  ",        ,
29,        gas  ,        , , , ,"(T-D0080,SRT,""Body Substance"")","(C-10080,SRT,""Gas"")",716y, ," rgb(218,255,255)  ",        ,
30,        fluid  ,        , , , ,"(T-D0080,SRT,""Body Substance"")","(T-D0070,SRT,""Body fluid"")",716y, ," rgb(170,250,250)  ",        ,
31,        edema  ,        , , , ," (M-01000,SRT,""Morphologically Altered Structure"") ","(M-36300,SRT,""Edema"")",7159++,        ," rgb(140,224,228)  ",        ,
32,        bleeding  ,        , , , ," (M-01000,SRT,""Morphologically Altered Structure"") ","(M-37000,SRT,""Hemorrhage"")",7159++,        ," rgb(188,65,28)  ",        ,
33,        necrosis  ,        , , , ," (M-01000,SRT,""Morphologically Altered Structure"") ","(M-54000,SRT,""Necrosis"")",7159++,        ," rgb(216,191,216)  ",        ,
34,        clot  ,        , , , ," (M-01000,SRT,""Morphologically Altered Structure"") ","(M-35000,SRT,""Blood clot"")",7159++,        ," rgb(145,60,66)  ",        ,
35,        embolism  ,        , , , ," (M-01000,SRT,""Morphologically Altered Structure"") ","(M-35300,SRT,""Embolus"")",7159++,        ," rgb(150,98,83)  ",        ,
36,        head  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D1100,SRT,""Head"")",4028, ," rgb(177,122,101)  ",        ,
37,        central nervous system  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A0090,SRT,""Central nervous system"")",7153++, ," rgb(244,214,49)  ",        ,
38,        brain  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A0100,SRT,""Brain"")",7153++,        ," rgb(250,250,225)  ",        ,
39,        gray matter of brain  ,        , , , ," (T-D0050,SRT,""Tissue"") ","(T-A2020,SRT,""Cerebral gray matter"")",7153 edited,        ," rgb(200,200,215)  ",        cf. #13   #116 ,     
40,        telencephalon  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A0103,SRT,""Telencephalon"")",7153++, ," rgb(68,131,98)  ",        ,
41,        cerebral cortex  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2020,SRT,""Cerebral cortex"")",7153++, ," rgb(128,174,128)  ",        ,
42,        right frontal lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2200,SRT,""Frontal lobe"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(83,146,164)  ",        ,
43,        left frontal lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2200,SRT,""Frontal lobe"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(83,146,164)  ","in the cases like this one, where a code exists for left and right parts of a structure, should those be used, or should left/right modifiers be used?",
44,        right temporal lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2500,SRT,""Temporal lobe"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(162,115,105)  ",        ,
45,        left temporal lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2500,SRT,""Temporal lobe"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(162,115,105)  ",        ,
46,        right parietal lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A2300,SRT,""Parietal lobe"") ",7153++,"        (G-A100,SRT,""Right"") "," rgb(141,93,137)  ",        ,
47,        left parietal lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A2300,SRT,""Parietal lobe"") ",7153++,"        (G-A101,SRT,""Left"") "," rgb(141,93,137)  ",        ,
48,        right occipital lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A2400,SRT,""Occipital lobe"") ",7153++,"        (G-A100,SRT,""Right"") "," rgb(182,166,110)  ",        ,
49,        left occipital lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A2400,SRT,""Occipital lobe"") ",7153++,"        (G-A101,SRT,""Left"") "," rgb(182,166,110)  ",        ,
50,        right insular lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2610,SRT,""Insula"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(188,135,166)  ",        ,
51,        left insular lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2610,SRT,""Insula"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(188,135,166)  ",        ,
52,        right limbic lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A0036,SRT,""Limbic lobe"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(154,150,201)  ",ambiguous? http://en.wikipedia.org/wiki/Limbic_lobe,
53,        left limbic lobe  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A0036,SRT,""Limbic lobe"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(154,150,201)  ",ambiguous? http://en.wikipedia.org/wiki/Limbic_lobe,
54,        right striatum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A3100,SRT,""Corpus striatum"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(177,140,190)  ",        ,
55,        left striatum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A3100,SRT,""Corpus striatum"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(177,140,190)  ",        ,
56,        right caudate nucleus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A3200,SRT,""Caudate nucleus"")",7153++,"        (G-A100,SRT,""Right"") ","        rgb(30,111,85)  ",        ,
57,        left caudate nucleus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A3200,SRT,""Caudate nucleus"")",7153++,"        (G-A101,SRT,""Left"") ","        rgb(30,111,85)  ",        ,
58,        right putamen  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A3400,SRT,""Putamen"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(210,157,166)  ",        ,
59,        left putamen  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A3400,SRT,""Putamen"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(210,157,166)  ",        ,
60,        right pallidum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A3500,SRT,""Globus pallidus"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(48,129,126)  ",        ,
61,        left pallidum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A3500,SRT,""Globus pallidus"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(48,129,126)  ",        ,
62,        right amygdaloid complex  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A3230,SRT,""Amygdala"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(98,153,112)  ",        ,
63,        left amygdaloid complex  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A3230,SRT,""Amygdala"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(98,153,112)  ",        ,
64,        diencephalon  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A0102,SRT,""Diencephalon"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(69,110,53)  ",        ,
65,        thalamus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D0593,SRT,""Thalamus"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(166,113,137)  ",        ,
66,        right thalamus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D0593,SRT,""Thalamus"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(122,101,38)  ",        ,
67,        left thalamus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D0593,SRT,""Thalamus"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(122,101,38)  ",        ,
68,        pineal gland  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-B2000,SRT,""Pineal Gland"")",7153++, ," rgb(253,135,192)  ",        ,
69,        midbrain  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A5100,SRT,""Midbrain"")",7153++, ," rgb(145,92,109)  ",        ,
70,        substantia nigra  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A5160,SRT,""Substantia nigra"")",7153++, ," rgb(46,101,131)  ",        ,
71,        right substantia nigra  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A5160,SRT,""Substantia nigra"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(0,108,112)  ",        ,
72,        left substantia nigra  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A5160,SRT,""Substantia nigra"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(0,108,112)  ",        ,
73,        cerebral white matter  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2030,SRT,""Cerebral white matter"")",7153++, ," rgb(250,250,225)  ",        ,
74,        right superior longitudinal fasciculus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","        (T-A2820,SRT,""Superior longitudinal fasciculus"")",7153++,"        (G-A100,SRT,""Right"") ","        rgb(127,150,88)  ",        ,
75,        left superior longitudinal fasciculus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","        (T-A2820,SRT,""Superior longitudinal fasciculus"")",7153++,"        (G-A101,SRT,""Left"") ","        rgb(127,150,88)  ",        ,
76,        right inferior longitudinal fasciculus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2850,SRT,""Inferior longitudinal fasciculus"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(159,116,163)  ",        ,
77,        left inferior longitudinal fasciculus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2850,SRT,""Inferior longitudinal fasciculus"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(159,116,163)  ",        ,
